id	name
231	Проектирование в дизайне среды модуль 5
237	Проектирование в дизайне среды модуль 6
600	Проектирование в дизайне среды модуль 7
88	Проектирование информационных систем
455	Проектная деятельность
572	Проектная деятельность в рекламе и PR
677	Производственная научно-исследовательская практика (НИР)
602	Производственная практика по получению профессиональных умений и опыта профессиональной деятельности
603	Производственная творческая практика
622	Производственная технологическая практика
185	Производство по делам об административных нарушениях
456	Промышленная экология
638	Протокол и этикет в туризме
565	Профессиональная документация в рекламе и PR-деятельности
96	Профессиональная речь и деловая переписка
174	Профессиональная этика
300	Профессиональная этика и этикет
684	Профессионально-творческие мастерские (PR)
562	Профессионально-творческие мастерские (реклама)
122	Профессиональный практикум
156	Профессиональный практикум модуль 1
616	Процесс формирования внешней политики и дипломатия в АТР
550	Психогенетика
305	Психодиагностика
387	Психологические аспекты масс-медийной деятельности
313	Психологический практикум
543	Психологическое консультирование
7	Психология
630	Психология и педагогика высшей школы
544	Психология индивидуальных различий
545	Психология личности
349	Психология развития и возрастная психология
321	Психология стрессовых ситуаций
551	Психология творчества
165	Психология труда
350	Психофизиология
293	Радиационная экология
264	Расследование и экспертиза дорожно-транспортных происшествий
623	Расчетно-аналитический практикум
584	Региональная и муниципальная молодежная политика
42	Региональная экономика и управление
486	Региональные аспекты современных международных отношений
380	Регулирование медиадеятельности
385	Редактирование журналистского текста
568	Реклама в коммуникационном пространстве
121	Рекламная деятельность
294	Рекреационные ресурсы
511	Ремонт и техническое обслуживание кузовов автомобилей
682	Реферирование модуль 1
306	Речевая коммуникация
175	Римское право
322	Риски и страхование на авиатранспорте
203	Рисунок модуль 1
212	Рисунок модуль 2
218	Рисунок модуль 3
226	Рисунок модуль 4
552	Риторика
662	Русская литература XIX века
23	Русский язык и культура речи
138	Рынок товаров и услуг
43	Связи с общественностью
553	Сексология
181	Семейное право
518	Сенсорный анализ продовольственных товаров
314	Сервисная деятельность
307	Сервисология
412	Сети связи, системы коммутации
76	Сети ЭВМ и телекоммуникации
219	Скульптура и пластическое моделирование
413	Смарт-технологии
563	Современная пресс-служба
564	Современная рекламная служба
588	Современные информационные системы в экономике
617	Современные международные отношения
499	Современные направления в тюнинге автомобилей
678	Современные основы аудиторской деятельности
527	Современные технологии производства товаров
490	Содружество независимых государств
282	Социальная и экономическая география
315	Социальная конфликтология в сервисе
354	Социальная психология
585	Социальная статистика
586	Социально-политический и религиозный экстремизм в молодежных организациях
579	Социальное партнёрство в молодёжной политике
388	Социологические исследования в масс-медийной деятельности
44	Социология
408	Специальные разделы высшей математики
337	Специальные экономические зоны в мировой экономике
541	Спортивно-оздоровительные услуги
139	Стандартизация, метрология и сертификация
24	Статистика
283	Статистическая обработка экологических данных
601	Стили в интерьере
381	Стилистика и литературное редактирование
